Creationtime,Einddatum,Einddatumgepland,Hoofdzaak_id,Zaak_id,Zaaknummer,Omschrijving,Registratiedatum,Startdatum,Toelichting,UiterlijkeEinddatumAfdoening,VerantwoordelijkeOrganisatie,VertrouwelijkheidAanduiding,Zaaktype_id,When,Change
2023-09-11 09:57:36.512,,2023-09-25,,a807446d-b482-4a42-b1c3-dc0d7798a4f5,Z2023-00000126,omschrijving 23,2023-09-11,2023-09-11,toelichting 23,2023-10-09,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:27.841,insert
2023-09-29 10:27:55.592,,2023-11-24,,70b7917e-4f16-4d08-b8b2-6c08689ab27e,Z2023-00000152,omschrijving 24,2023-09-29,2023-09-29,toelichting 24,2023-11-24,805307631,Openbaar,82608359-3892-4bff-84b0-e872d4320cdd,2025-07-06 11:41:29.374,insert
2023-07-06 10:16:46.277,2024-11-20,2023-07-20,,f949ba30-38a7-4f46-ba69-6d605b1f4557,Z2023-00000093,omschrijving 25,2023-07-06,2023-07-06,toelichting 25,2023-08-03,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:29.837,insert
2023-06-21 12:59:31.033,2024-11-20,2023-08-16,,72355124-d015-429b-9957-0b2baa7396f7,Z2023-00000091,omschrijving 26,2023-06-21,2023-06-21,toelichting 26,2023-08-16,805307631,Openbaar,5d38a2ab-daf4-4363-b090-ef06c5a2a3af,2025-07-06 11:41:29.883,insert
2023-07-14 12:30:29.265,2025-05-19,2023-09-08,,d90ff356-4fa6-49d1-b5b6-102aefc094a7,Z2023-00000098,omschrijving 27,2023-07-14,2023-07-14,toelichting 27,2023-09-08,805307631,Openbaar,8878f57e-2e0e-44f6-b021-7dca297d69b7,2025-07-06 11:41:29.946,insert
2023-07-07 08:51:51.817,2024-11-20,2023-07-21,,10d84a16-23ce-4750-8240-f9b0c4c0a1c5,Z2023-00000094,omschrijving 28,2023-07-07,2023-07-07,toelichting 28,2023-08-04,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:30.061,insert
2023-06-14 13:23:28.940,2024-11-20,2023-07-01,,7a8a650a-fa2a-4dea-b22a-f6186ac7d54c,Z2023-00000085,omschrijving 29,2023-06-14,2023-06-17,toelichting 29,2023-07-15,805307631,Openbaar,b1d17839-49ea-4759-9490-07b2fc49dabe,2025-07-06 11:41:30.340,insert
2023-06-21 10:56:06.956,2024-11-20,2023-07-05,,1ed83fde-40e9-4c34-a5fe-b95a73691662,Z2023-00000089,omschrijving 30,2023-06-21,2023-06-21,toelichting 30,2023-07-19,805307631,Openbaar,b1d17839-49ea-4759-9490-07b2fc49dabe,2025-07-06 11:41:30.340,insert
2023-06-21 12:53:33.154,2024-11-20,2023-10-17,,df26748d-be2e-4070-a97b-0015a5feeb33,Z2023-00000090,omschrijving 31,2023-06-21,2023-06-21,toelichting 31,2023-10-17,805307631,Openbaar,5d38a2ab-daf4-4363-b090-ef06c5a2a3af,2025-07-06 11:41:30.526,insert
2023-09-11 13:31:59.625,,2023-09-25,,8dcede71-f9fa-4f5f-bcc6-4a21444274c2,Z2023-00000129,omschrijving 32,2023-09-11,2023-09-11,toelichting 32,2023-10-09,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:30.527,insert
2023-07-11 10:09:34.392,2024-11-20,2026-04-05,,1a5643de-e21f-4dda-b41d-237efde1b218,Z2023-00000096,omschrijving 33,2023-07-11,2023-07-11,toelichting 33,2026-04-05,805307631,Openbaar,d5081ae9-3906-4a4d-8db5-59ba85f45eb3,2025-07-06 11:41:30.670,insert
2023-09-11 14:22:24.073,,2026-06-06,,880c356b-2b9b-41fa-84a9-3e8c57e9fc4e,Z2023-00000130,omschrijving 34,2023-09-11,2023-09-11,toelichting 34,2026-06-06,805307631,Openbaar,46bde643-5153-4bbc-9871-ce09f173eb74,2025-07-06 11:41:30.673,insert
2023-09-11 14:23:41.714,,2023-09-25,,3307517d-b28f-45aa-9746-c82c1c06354e,Z2023-00000131,omschrijving 35,2023-09-11,2023-09-11,toelichting 35,2023-10-09,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:30.674,insert
2023-07-13 11:22:00.381,2025-05-19,2023-09-07,,a213b2c6-48f1-4e74-8f94-dbd80c0f9410,Z2023-00000097,omschrijving 36,2023-07-13,2023-07-13,toelichting 36,2023-09-07,805307631,Openbaar,49d0e580-2902-4afe-a747-5d8889632b93,2025-07-06 11:41:30.778,insert
2023-07-18 14:14:59.439,2025-05-19,2026-04-12,,0412081d-3f2e-4cb8-ac01-05b15f8b9f55,Z2023-00000099,omschrijving 37,2023-07-18,2023-07-18,toelichting 37,2026-04-12,805307631,Openbaar,46bde643-5153-4bbc-9871-ce09f173eb74,2025-07-06 11:41:30.854,insert
2023-10-10 11:52:44.447,,2023-11-07,,6c107fbb-1bff-4948-970a-907a7cb18d18,Z2023-00000155,omschrijving 38,2023-10-10,2023-10-10,toelichting 38,2023-11-07,805307631,Openbaar,6577ba17-7166-42c3-91c1-5a87508cde23,2025-07-06 11:41:31.456,insert
2023-10-09 11:16:37.727,2023-10-09,2023-10-23,,54e26f3a-a105-4b4c-bc19-0615b9a8d41b,Z2023-00000153,omschrijving 39,2023-10-09,2023-10-09,toelichting 39,2023-11-06,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:31.530,insert
2023-10-09 12:07:23.502,,2023-10-30,,861612cf-c701-4d5e-8f24-ea3e2a5320f8,Z2023-00000154,omschrijving 40,2023-10-09,2023-10-16,toelichting 40,2023-11-13,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:31.617,insert
2023-11-09 14:11:31.011,2024-04-16,2024-01-04,,b51a0305-6979-4ac6-94c7-dfac0574433a,Z2023-00000187,omschrijving 41,2023-11-09,2023-11-09,toelichting 41,2024-01-04,805307631,Openbaar,941426f1-967b-4b9c-837b-79491fa2920b,2025-07-06 11:41:33.827,insert
2023-09-11 15:30:09.156,,2026-06-06,,122c1764-b4cf-4635-ab42-1525cecac42d,Z2023-00000132,omschrijving 42,2023-09-11,2023-09-11,toelichting 42,2026-06-06,805307631,Openbaar,46bde643-5153-4bbc-9871-ce09f173eb74,2025-07-06 11:41:36.427,insert
2023-09-11 16:22:22.372,,2026-06-06,,be7c3c22-0869-498f-8a6a-7993bc8f51b0,Z2023-00000134,omschrijving 43,2023-09-11,2023-09-11,toelichting 43,2026-06-06,805307631,Openbaar,46bde643-5153-4bbc-9871-ce09f173eb74,2025-07-06 11:41:36.427,insert
2023-09-11 15:45:13.368,,2023-09-25,,1179ed3b-a130-489b-8684-abe195508ba6,Z2023-00000133,omschrijving 44,2023-09-11,2023-09-11,toelichting 44,2023-10-09,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:36.427,insert
2023-09-13 10:04:53.799,,2023-09-27,,847b6836-20dc-4261-b5b7-9f513badb5cf,Z2023-00000135,omschrijving 45,2023-09-13,2023-09-13,toelichting 45,2023-10-11,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:36.834,insert
2023-09-13 10:19:28.927,,2023-09-27,,f4f0fd9a-f0ed-4084-bb88-7eb5b4b40474,Z2023-00000137,omschrijving 46,2023-09-13,2023-09-13,toelichting 46,2023-10-11,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:36.835,insert
2023-09-13 10:29:59.207,2023-09-13,2023-09-27,,3d3ce351-3554-4de4-84cc-25246b4b1e7d,Z2023-00000138,omschrijving 47,2023-09-13,2023-09-13,toelichting 47,2023-10-11,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:36.835,insert
2023-06-16 09:55:51.454,2024-11-20,2023-07-14,,5e0d3b99-8a06-4d56-a252-bc1de9c60be4,Z2023-00000086,omschrijving 48,2023-06-16,2023-06-16,toelichting 48,2023-07-14,805307631,Openbaar,46a07bc2-7afe-4fcd-80ac-4f2956f72acc,2025-07-06 11:41:36.836,insert
2023-09-13 11:53:03.600,,2023-09-27,,6a9d052b-d4b0-47b8-8ff7-8648010f0ac0,Z2023-00000140,omschrijving 49,2023-09-13,2023-09-13,toelichting 49,2023-10-11,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:36.887,insert
2023-09-13 12:02:18.231,,2023-09-27,,33391eeb-c034-4dc7-b197-f297890d0668,Z2023-00000143,omschrijving 50,2023-09-13,2023-09-13,toelichting 50,2023-10-11,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:36.887,insert
2023-09-13 12:00:09.518,,2023-09-27,,755e7cea-1745-4552-b03a-6fd152d4f1bb,Z2023-00000142,omschrijving 51,2023-09-13,2023-09-13,toelichting 51,2023-10-11,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:36.887,insert
2023-09-13 12:34:16.842,,2023-09-27,,f7766c99-5571-4fee-bd01-207b4793d0c6,Z2023-00000144,omschrijving 52,2023-09-13,2023-09-13,toelichting 52,2023-10-11,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:36.888,insert
2023-09-13 12:47:06.851,,2023-09-27,,98692cd6-d99b-4da4-838e-8b0099c12964,Z2023-00000146,omschrijving 53,2023-09-13,2023-09-13,toelichting 53,2023-10-11,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:36.888,insert
2023-09-13 12:45:17.795,,2023-09-27,,bc06514e-b6b5-4496-a2c6-a9f778c00b23,Z2023-00000145,omschrijving 54,2023-09-13,2023-09-13,toelichting 54,2023-10-11,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:36.888,insert
2023-09-04 11:16:15.763,,2023-10-02,,4a1883b7-bf46-4e70-a959-04328f8c81e9,Z2023-00000121,omschrijving 55,2023-09-04,2023-09-04,toelichting 55,2023-10-02,805307631,Openbaar,33363616-5c9d-4d11-8853-6353f20a0ac5,2025-07-06 11:41:37.225,insert
2024-05-23 10:11:43.421,2025-05-28,2024-06-06,,faf642e7-950d-4b3c-8451-2ce66a536320,Z2024-00000080,omschrijving 56,2024-05-23,2024-05-23,toelichting 56,2024-06-20,805307631,Openbaar,7aeb2b7e-be6f-45ec-9230-680dd9fc6b84,2025-07-06 11:41:38.677,insert
2024-05-31 11:19:08.781,,2027-02-24,,3e5ba633-b996-496d-9bf8-cf1fc5da409d,Z2024-00000087,omschrijving 57,2024-05-31,2024-05-31,toelichting 57,2027-02-24,805307631,vertrouwelijk,f4103427-c016-43e7-81cf-0a46aef1991d,2025-07-06 11:41:38.743,insert
2023-11-20 12:14:17.791,2024-04-16,2024-01-15,,b01b3665-a6c2-4c62-b019-6cb0c0ae0aa8,Z2023-00000189,omschrijving 58,2023-11-20,2023-11-20,toelichting 58,2024-01-15,805307631,Openbaar,d4771f31-881d-442a-b8dc-4bc3adf0d6ef,2025-07-06 11:41:40.467,insert
2023-11-21 10:52:20.615,2024-04-16,2023-12-19,,633bf418-02f8-4073-9887-105f40420206,Z2023-00000191,omschrijving 59,2023-11-21,2023-11-21,toelichting 59,2023-12-19,805307631,Openbaar,09e4c88e-ba6f-48d7-93c9-81864fbd2b60,2025-07-06 11:41:40.631,insert
2023-11-22 10:04:07.425,2024-11-20,2023-11-23,,23455763-5c58-4312-9462-948ed5d255bf,Z2023-00000192,omschrijving 60,2023-11-22,2023-06-21,toelichting 60,2023-11-23,805307631,Openbaar,94159c37-9a2b-4a1c-8d53-de8453f4f5cd,2025-07-06 11:41:40.766,insert
2023-10-31 09:13:37.177,2023-11-06,2023-11-28,,2f91692b-2328-481b-b82e-72ab9f92a555,Z2023-00000163,omschrijving 61,2023-10-31,2023-10-31,toelichting 61,2023-11-28,805307631,Openbaar,257020d1-e499-45ee-9ad4-17a338d82da2,2025-07-06 11:41:41.138,insert
2023-11-27 10:20:24.504,2024-04-16,2026-08-22,,d3e00e4b-74d8-43d6-98ab-f1e9b997669c,Z2023-00000193,omschrijving 62,2023-11-27,2023-11-27,toelichting 62,2026-08-22,805307631,Openbaar,ad945a0a-4d41-4572-8b59-ee1633fefc3c,2025-07-06 11:41:46.557,insert
2023-11-27 12:15:52.745,2023-11-27,2023-11-29,,e4c6ecd9-6528-4043-9516-f6e5d9052f97,Z2023-00000194,omschrijving 63,2023-11-27,2023-11-27,toelichting 63,2023-11-29,805307631,Openbaar,ab3a9ea9-a6c9-47bf-b1ba-ce118b824c63,2025-07-06 11:41:46.559,insert
2023-11-27 13:53:27.017,2024-04-16,2024-01-08,,63f58da9-4996-4668-a811-2da7974ec50b,Z2023-00000195,omschrijving 64,2023-11-27,2023-11-27,toelichting 64,2024-01-08,805307631,Openbaar,9a60446e-f55e-4b90-9ade-8dafaff9425c,2025-07-06 11:41:46.559,insert
2023-12-07 16:04:33.579,2024-04-16,2024-02-01,,8460d8aa-514e-4aa1-af67-4f7f6f98149b,Z2023-00000202,omschrijving 65,2023-12-07,2023-12-07,toelichting 65,2024-03-14,805307631,Openbaar,02feced3-2eaf-4d7f-9ec9-ce78b0963d45,2025-07-06 11:41:46.626,insert
2023-11-27 17:29:31.374,2024-04-16,2024-01-22,,c0487a51-8fdf-41a3-a7de-24784862c2ff,Z2023-00000196,omschrijving 66,2023-11-27,2023-11-27,toelichting 66,2024-01-22,805307631,Openbaar,7cea90b1-a170-4183-9141-b7989607454d,2025-07-06 11:41:46.629,insert
2023-11-27 17:32:34.389,2024-04-16,2023-12-25,,9b23e9f6-2d7c-438c-a349-04a278473300,Z2023-00000197,omschrijving 67,2023-11-27,2023-11-27,toelichting 67,2023-12-25,805307631,Openbaar,496efcba-188b-49aa-8fff-7cb519da6fa2,2025-07-06 11:41:46.629,insert
2023-12-08 09:36:15.092,2024-04-16,2024-02-02,,20c600a0-5f15-4a1a-802e-6dc9d0e2152a,Z2023-00000203,omschrijving 68,2023-12-08,2023-12-08,toelichting 68,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.764,insert
2023-12-08 11:06:12.393,2024-04-16,2024-02-02,,84addb7a-a8be-4f58-a9a6-b00d76c8ed65,Z2023-00000204,omschrijving 69,2023-12-08,2023-12-08,toelichting 69,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.764,insert
2023-12-08 11:34:14.185,2024-04-16,2024-02-02,,ed188fc9-3f89-4e53-b9d3-6ad2e7c91f32,Z2023-00000205,omschrijving 70,2023-12-08,2023-12-08,toelichting 70,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.765,insert
2023-12-08 11:48:16.461,2024-04-16,2024-02-02,,5bd634f7-dac7-4202-aeee-2a66c0ed52ce,Z2023-00000206,omschrijving 71,2023-12-08,2023-12-08,toelichting 71,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.765,insert
2023-12-08 11:52:12.682,2024-04-16,2024-02-02,,9299b917-c125-4e48-8854-ff1797bf2202,Z2023-00000207,omschrijving 72,2023-12-08,2023-12-08,toelichting 72,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.765,insert
2023-12-08 12:28:14.132,2024-04-16,2024-02-02,,58a59ebe-1cb9-4412-bd46-bf57f345be20,Z2023-00000208,omschrijving 73,2023-12-08,2023-12-08,toelichting 73,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.765,insert
2023-12-08 16:26:14.606,2024-04-16,2024-02-02,,d976c8f2-2eba-4ce7-830e-402304da7c5d,Z2023-00000209,omschrijving 74,2023-12-08,2023-12-08,toelichting 74,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.766,insert
2023-12-08 16:50:13.906,2024-04-16,2024-02-02,,1be1b582-e49a-499f-86aa-5f0a5878a81e,Z2023-00000210,omschrijving 75,2023-12-08,2023-12-08,toelichting 75,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.766,insert
2023-12-08 16:52:12.216,2024-04-16,2024-02-02,,797a36c9-4403-4e6f-bef0-961f67c04550,Z2023-00000211,omschrijving 76,2023-12-08,2023-12-08,toelichting 76,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.766,insert
2023-12-08 16:54:12.545,2024-04-16,2024-02-02,,3635e891-bb50-4f45-86e3-b9812653f430,Z2023-00000212,omschrijving 77,2023-12-08,2023-12-08,toelichting 77,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.766,insert
2023-12-08 16:58:16.920,2024-04-16,2024-02-02,,99452b5b-fae6-4c49-b40d-de2969ca7a89,Z2023-00000213,omschrijving 78,2023-12-08,2023-12-08,toelichting 78,2024-02-02,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.766,insert
2023-11-28 12:08:16.161,2024-04-16,2024-01-23,,350090a7-ec68-4832-8ef5-73dbdfa9b2e3,Z2023-00000198,omschrijving 79,2023-11-28,2023-11-28,toelichting 79,2024-03-05,805307631,Openbaar,7cea90b1-a170-4183-9141-b7989607454d,2025-07-06 11:41:46.767,insert
2023-12-11 08:16:14.900,2024-04-16,2024-02-05,,9990902f-108c-4a87-aba1-4041ab43ab3a,Z2023-00000214,omschrijving 80,2023-12-11,2023-12-11,toelichting 80,2024-02-05,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.771,insert
2023-12-11 08:22:13.763,2024-04-16,2024-02-05,,318c5d75-433a-4870-a100-a10aacede0c9,Z2023-00000215,omschrijving 81,2023-12-11,2023-12-11,toelichting 81,2024-02-05,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.771,insert
2023-11-21 10:52:18.115,2023-11-30,2023-12-19,,4f3c7631-4231-4534-ae04-1fc9ca242fd0,Z2023-00000190,omschrijving 82,2023-11-21,2023-11-21,toelichting 82,2023-12-19,805307631,Openbaar,09e4c88e-ba6f-48d7-93c9-81864fbd2b60,2025-07-06 11:41:46.774,insert
2023-12-01 09:04:16.324,2024-04-16,2024-01-26,,da053089-ad61-4dbe-b519-5645c7336791,Z2023-00000199,omschrijving 83,2023-12-01,2023-12-01,toelichting 83,2024-03-08,805307631,Openbaar,7cea90b1-a170-4183-9141-b7989607454d,2025-07-06 11:41:46.781,insert
2023-09-13 11:57:03.582,,2023-09-27,,89f7ead2-ab8f-4807-b0f8-75a81307aa39,Z2023-00000141,omschrijving 84,2023-09-13,2023-09-13,toelichting 84,2023-10-11,805307631,Openbaar,f24154fd-5f45-4ef2-9248-ef061e248541,2025-07-06 11:41:46.782,insert
2023-12-12 09:32:13.584,2024-04-16,2024-02-06,,0ca2cd01-0a03-4d62-b5cc-f9423d602ea3,Z2023-00000218,omschrijving 85,2023-12-12,2023-12-12,toelichting 85,2024-02-06,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.858,insert
2023-12-12 09:36:13.512,2024-04-16,2024-02-06,,28263cab-51cd-4bd8-8006-87931322999a,Z2023-00000219,omschrijving 86,2023-12-12,2023-12-12,toelichting 86,2024-02-06,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.858,insert
2023-12-12 09:46:17.576,2024-04-16,2024-05-28,,4da843f3-f391-4ea6-a6e5-d0b6fe901c45,Z2023-00000220,omschrijving 87,2023-12-12,2023-12-12,toelichting 87,2024-05-28,805307631,Openbaar,71452e46-6c20-45b4-bd72-486cdfe9ee8c,2025-07-06 11:41:46.858,insert
2023-12-12 09:18:16.099,2024-04-16,2024-02-06,,25949abc-b3c2-4675-9ae4-f60eba4d3f77,Z2023-00000216,omschrijving 88,2023-12-12,2023-12-12,toelichting 88,2024-02-06,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.859,insert
2023-12-12 09:26:14.673,2024-04-16,2024-02-06,,2aa28ce2-9426-4fce-97d4-d60dcb4f6fbd,Z2023-00000217,omschrijving 89,2023-12-12,2023-12-12,toelichting 89,2024-02-06,805307631,Openbaar,414ffbd6-d7fc-452d-99cb-8c8214b64cc0,2025-07-06 11:41:46.859,insert
